age_DI,LoE_DI,nevents,target
1,2,35.0,0
1,2,221.0,1
1,2,178.0,1
1,2,143.0,1
1,2,58.0,0
1,2,51.0,1
1,2,3.0,1
1,2,6.0,0
1,2,1.0,1
1,2,255.0,1
1,2,1.0,1
1,2,2.0,0
1,2,6.0,0
1,2,65.0,0
1,2,11.0,0
1,2,3.0,0
1,2,160.0,0
1,2,119.0,0
1,2,3.0,1
1,2,2.0,1
1,2,5.0,0
1,2,2.0,0
1,2,1.0,0
1,2,2.0,0
1,2,4.0,0
1,2,4.0,1
1,2,12.0,0
1,2,9.0,1
1,2,1.0,1
1,2,119.0,0
1,2,5.0,1
1,2,12.0,1
1,2,25.0,0
1,2,1.0,1
1,2,99.0,0
1,2,5.0,0
1,2,1.0,1
1,2,4.0,1
1,2,105.0,1
1,2,299.0,1
1,2,140.0,1
1,2,240.0,1
1,2,84.0,1
1,2,373.0,1
1,2,270.0,1
1,2,17.0,0
1,2,3.0,0
1,2,137.0,1
1,2,169.0,1
1,2,17.0,0
1,2,141.0,0
1,2,33.0,0
1,2,125.0,0
1,2,31.0,0
1,2,283.0,1
1,2,50.0,0
1,2,111.0,1
1,2,85.0,1
1,2,21.0,0
1,2,20.0,0
1,2,39.0,0
1,2,8.0,0
1,2,105.0,1
1,2,64.0,0
1,2,291.0,1
1,2,95.0,0
1,2,49.0,0
1,2,13.0,0
1,2,38.0,0
1,2,45.0,0
1,2,322.0,0
1,2,29.0,0
1,2,22.0,0
1,2,18.0,0
1,2,16.0,0
1,2,41.0,0
1,2,1.0,1
1,2,2.0,0
1,2,522.0,1
1,2,32.0,0
1,2,63.0,0
1,2,52.0,0
1,2,74.0,0
1,2,2.0,0
1,2,87.0,1
1,2,10.0,1
1,2,11.0,1
1,2,198.0,0
1,2,1.0,1
1,2,14.0,1
1,2,12.0,0
1,2,39.0,0
1,2,166.0,0
1,2,127.0,0
1,2,6.0,1
1,2,614.0,0
1,2,27.0,0
1,2,13.0,0
1,2,184.0,1
1,2,88.0,0
1,2,43.0,0
1,2,63.0,1
1,2,24.0,1
1,2,87.0,0
1,2,74.0,0
1,2,8.0,0
1,2,108.0,1
1,2,158.0,1
1,2,100.0,1
1,2,1.0,1
1,2,66.0,0
1,2,392.0,1
1,2,35.0,0
1,2,392.0,1
1,2,57.0,0
1,2,13.0,1
1,2,236.0,1
1,2,41.0,0
1,2,16.0,0
1,2,45.0,0
1,2,117.0,0
1,2,20.0,0
1,2,174.0,0
1,2,17.0,0
1,2,50.0,0
1,2,2.0,0
1,2,103.0,1
1,2,54.0,0
1,2,304.0,1
1,2,203.0,1
1,2,26.0,0
1,2,158.0,1
1,2,55.0,0
1,2,62.0,1
1,2,450.0,1
1,2,59.0,1
1,2,97.0,0
1,2,54.0,0
1,2,9.0,0
1,2,125.0,0
1,2,19.0,0
1,2,86.0,0
1,2,104.0,0
1,2,267.0,0
1,2,81.0,0
1,2,121.0,1
1,2,36.0,1
1,2,55.0,0
1,2,24.0,0
1,2,65.0,0
1,2,9.0,0
1,2,335.0,1
1,2,128.0,0
1,2,238.0,1
1,2,49.0,0
1,2,3.0,1
1,2,15.0,0
1,2,1.0,0
1,2,1.0,1
1,2,30.0,0
1,2,8.0,0
1,2,23.0,0
1,2,31.0,0
1,2,35.0,0
1,2,26.0,0
1,2,167.0,1
1,2,254.0,0
1,2,63.0,0
1,2,152.0,0
1,2,116.0,1
1,2,263.0,0
1,2,419.0,0
1,2,4.0,0
1,2,250.0,0
1,2,22.0,0
1,2,199.0,0
1,2,660.0,0
1,2,134.0,0
1,2,156.0,0
1,2,336.0,0
1,2,16.0,0
1,2,203.0,0
1,2,92.0,0
1,2,286.0,0
1,2,113.0,0
1,2,17.0,0
1,2,37.0,0
1,2,7.0,0
1,2,80.0,0
1,2,281.0,0
1,2,21.0,0
1,2,42.0,0
1,2,585.0,0
1,2,212.0,0
1,2,145.0,0
1,2,291.0,0
1,2,485.0,0
1,2,406.0,0
1,2,443.0,0
1,2,64.0,0
1,2,385.0,0
1,2,50.0,1
1,2,10.0,0
1,2,1058.0,1
1,2,65.0,0
1,2,4.0,1
1,2,4.0,1
1,2,3.0,1
1,2,357.0,1
1,2,34.0,0
1,2,21.0,0
1,2,261.0,1
1,2,41.0,0
1,2,195.0,1
1,2,524.0,0
1,2,58.0,0
1,2,67.0,1
1,2,415.0,1
1,2,118.0,0
1,2,90.0,0
1,2,283.0,1
1,2,750.0,1
1,2,203.0,1
1,2,11.0,0
1,2,41.0,0
1,2,25.0,0
1,2,39.0,0
1,2,37.0,1
1,2,40.0,0
1,2,111.0,1
1,2,95.0,1
1,2,5.0,1
1,2,131.0,1
1,2,20.0,1
1,2,2.0,0
1,2,168.0,1
1,2,262.0,1
1,2,34.0,0
1,2,75.0,0
1,2,381.0,0
1,2,42.0,0
1,2,4238.0,0
1,2,19.0,0
1,2,612.0,1
1,2,69.0,0
1,2,93.0,0
1,2,85.0,1
1,2,3.0,0
1,2,7.0,0
1,2,159.0,1
1,2,153.0,1
1,2,4.0,0
1,2,10.0,0
1,2,264.0,1
1,2,169.0,0
1,2,126.0,0
1,2,43.0,1
1,2,194.0,1
1,2,29.0,1
1,2,66.0,0
1,2,144.0,1
1,2,93.0,0
1,2,1.0,1
1,2,1.0,1
1,2,2.0,1
1,2,1.0,0
1,2,165.0,1
1,2,90.0,1
1,2,101.0,0
1,2,5.0,0
1,2,499.0,0
1,2,178.0,0
1,2,287.0,1
1,2,2.0,0
1,2,186.0,1
1,2,29.0,0
1,2,69.0,0
1,2,2.0,0
1,2,12.0,0
1,2,36.0,0
1,2,250.0,1
1,2,158.0,0
1,2,103.0,1
1,2,323.0,1
1,2,2.0,1
1,2,40.0,0
1,2,129.0,0
1,2,975.0,1
1,2,371.0,1
1,2,202.0,1
1,2,167.0,1
1,2,154.0,0
1,2,77.0,0
1,2,19.0,0
1,2,638.0,0
1,2,265.0,0
1,2,25.0,0
1,2,100.0,0
1,2,104.0,0
1,2,335.0,0
1,2,412.0,0
1,2,35.0,0
1,2,72.0,1
1,2,443.0,1
1,2,56.0,0
1,2,11.0,0
1,2,193.0,0
1,2,101.0,0
1,2,34.0,0
1,2,45.0,0
1,2,693.0,1
1,2,177.0,1
1,2,23.0,0
1,2,201.0,1
1,2,87.0,0
1,2,100.0,0
1,2,88.0,0
1,2,264.0,0
1,2,14.0,0
1,2,48.0,0
1,2,407.0,1
1,2,28.0,0
1,2,29.0,0
1,2,966.0,1
1,2,600.0,0
1,2,435.0,0
1,2,87.0,0
1,2,25.0,1
1,2,268.0,0
1,2,3.0,0
1,2,136.0,1
1,2,226.0,1
1,2,9.0,0
1,2,27.0,0
1,2,31.0,0
1,2,241.0,1
1,2,59.0,0
1,2,5.0,1
1,2,106.0,0
1,2,11.0,0
1,2,26.0,0
1,2,17.0,0
1,2,75.0,1
1,2,54.0,0
1,2,8.0,0
1,2,47.0,0
1,2,392.0,1
1,2,71.0,0
1,2,39.0,0
1,2,96.0,0
1,2,126.0,1
1,2,79.0,0
1,2,203.0,1
1,2,113.0,0
1,2,63.0,1
1,2,7.0,0
1,2,279.0,1
1,2,16.0,0
1,2,37.0,0
1,2,15.0,0
1,2,141.0,1
1,2,242.0,1
1,2,55.0,0
1,2,44.0,0
1,2,200.0,1
1,2,32.0,0
1,2,98.0,1
1,2,56.0,0
1,2,147.0,0
1,2,44.0,0
1,2,4.0,0
1,2,670.0,1
1,2,36.0,0
1,2,19.0,1
1,2,33.0,0
1,2,100.0,0
1,2,153.0,0
1,2,122.0,1
1,2,4.0,1
1,2,111.0,0
1,2,11.0,0
1,2,10.0,0
1,2,18.0,0
1,2,263.0,1
1,2,363.0,1
1,2,354.0,1
1,2,343.0,1
1,2,9.0,0
1,2,3.0,1
1,2,477.0,1
1,2,30.0,1
1,2,19.0,0
1,2,11.0,1
1,2,3.0,0
1,2,1023.0,1
1,2,25.0,0
1,2,25.0,0
1,2,94.0,1
1,2,24.0,0
1,2,148.0,1
1,2,214.0,1
1,2,297.0,1
1,2,27.0,0
1,2,7.0,0
1,2,110.0,1
1,2,3.0,0
1,2,1.0,0
1,2,219.0,1
1,2,7.0,0
1,2,5127.0,0
1,2,45.0,0
1,2,77.0,0
1,2,146.0,0
1,2,62.0,0
1,2,3.0,0
1,2,7.0,1
1,2,236.0,1
1,2,125.0,0
1,2,34.0,0
1,2,303.0,1
1,2,85.0,0
1,2,11.0,0
1,2,299.0,1
1,2,89.0,0
1,2,231.0,1
1,2,49.0,0
1,2,6.0,0
1,2,196.0,1
1,2,19.0,0
